State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing
Andaman & Nicobar,0.35,0.0,0.02,0.0,0.37,0.04,0.33,0.0,0.0,0.01,0.01,0.01,0.32,2.74,2017,False
Andhra Pradesh,9.96,5.62,1.21,4.42,21.22,1.07,20.15,7.85,0.14,0.9,8.9,1.48,12.31,44.15,2017,False
Arunachal Pradesh,1.89,0.18,0.95,0.01,3.02,0.36,2.67,0.0,0.0,0.01,0.01,0.03,2.64,0.28,2017,False
Assam,20.22,0.43,7.28,0.74,28.67,4.42,24.26,1.97,0.06,0.69,2.73,0.79,21.43,11.25,2017,False
Bihar,19.83,3.95,3.14,4.5,31.41,2.43,28.99,10.78,0.66,1.83,13.26,1.83,15.78,45.76,2017,False
Chandigarh,0.02,0.01,0.0,0.01,0.04,0.0,0.04,0.0,0.0,0.03,0.03,0.03,0.0,89.0,2017,True
Chhattisgarh,7.82,1.36,0.76,1.64,11.57,1.0,10.57,3.98,0.05,0.67,4.7,0.79,5.76,44.43,2017,False
Dadra & Nagar Haveli and Daman & Diu,0.06,0.0,0.0,0.01,0.07,0.0,0.07,0.01,0.0,0.01,0.02,0.01,0.04,28.57,2017,True
Delhi,0.13,0.06,0.03,0.11,0.32,0.02,0.3,0.09,0.02,0.24,0.36,0.29,0.02,119.61,2017,False
Goa,0.19,0.03,0.01,0.05,0.27,0.11,0.16,0.02,0.0,0.03,0.05,0.04,0.07,33.5,2017,True
Gujarat,15.95,3.4,0.0,3.02,22.37,1.12,21.25,12.84,0.11,0.63,13.58,0.9,7.98,63.89,2017,False
Haryana,3.56,2.55,1.03,3.0,10.15,1.01,9.13,11.53,0.34,0.63,12.5,0.72,0.87,136.91,2017,False
Himachal Pradesh,0.34,0.02,0.11,0.04,0.51,0.05,0.46,0.2,0.0,0.19,0.39,0.34,0.16,86.37,2017,False
Jammu & Kashmir,1.0,0.5,0.88,0.51,2.89,0.29,2.6,0.2,0.07,0.5,0.76,0.5,1.84,29.47,2017,False
Jharkhand,5.25,0.13,0.41,0.42,6.21,0.52,5.69,0.8,0.22,0.56,1.58,0.56,4.13,27.73,2017,False
Karnataka,6.59,4.36,2.67,3.22,16.84,2.05,14.79,9.39,0.0,0.95,10.34,1.14,5.41,69.87,2017,True
Kerala,3.91,0.04,0.68,1.13,5.77,0.56,5.21,1.22,0.01,1.44,2.67,1.57,2.41,51.27,2017,False
Madhya Pradesh,27.1,1.51,0.82,6.99,36.42,1.95,34.47,17.43,0.22,1.24,18.88,1.72,15.84,54.76,2017,False
Maharashtra,20.59,2.29,0.53,8.23,31.64,1.74,29.9,15.1,0.003,1.22,16.33,2.28,12.91,54.62,2017,False
Manipur,0.23,0.01,0.17,0.02,0.43,0.04,0.39,0.0,0.0,0.0,0.01,0.04,0.34,1.44,2017,False
Meghalaya,1.37,0.01,0.43,0.02,1.83,0.19,1.64,0.03,0.0,0.01,0.04,0.02,1.59,2.28,2017,False
Mizoram,0.16,0.0,0.05,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,3.82,2017,False
Nagaland,1.65,0.03,0.52,0.0,2.2,0.22,1.98,0.0,0.0,0.02,0.02,0.02,1.96,0.99,2017,False
Odisha,10.53,2.34,1.5,2.37,16.74,1.17,15.57,5.28,0.14,1.15,6.57,1.3,8.85,42.18,2017,False
Punjab,5.54,11.83,1.31,5.25,23.93,2.35,21.58,34.56,0.2,1.01,35.78,1.41,1.09,165.77,2017,False
Rajasthan,9.74,0.78,0.24,2.44,13.21,1.22,11.99,14.85,0.0,1.92,16.77,2.67,0.88,139.88,2017,False
Sikkim,5.2,0.0,0.43,0.0,5.63,4.11,1.52,0.0,0.0,0.0,0.0,0.01,1.51,0.06,2017,False
Tamil Nadu,6.67,9.41,1.89,2.26,20.22,2.02,18.2,13.06,0.0,1.67,14.73,1.85,5.66,80.94,2017,False
Telangana,7.56,1.42,1.88,2.76,13.62,1.25,12.37,7.09,0.0,1.0,8.09,1.39,4.26,65.45,2017,True
Tripura,0.8,0.06,0.4,0.26,1.53,0.29,1.24,0.02,0.0,0.08,0.1,0.11,1.11,7.88,2017,False
Uttar Pradesh,37.73,11.67,1.59,18.93,69.92,4.6,65.32,40.89,0.0,4.95,45.84,5.96,20.36,70.18,2017,True
Uttarakhand,1.15,0.93,0.09,0.87,3.04,0.15,2.89,1.3,0.13,0.22,1.64,0.22,1.25,56.83,2017,False
West Bengal,18.71,1.51,5.26,3.85,29.33,2.77,26.56,10.84,0.0,1.0,11.84,1.53,14.19,44.6,2017,True
Andaman & Nicobar,0.32,0.0002,0.0,0.0001,0.32,0.03,0.28,0.0001,0.001,0.01,0.01,0.01,0.28,2.6,2020,False
Andhra Pradesh,8.93,8.54,0.85,5.83,24.15,1.21,22.94,6.6,0.15,0.88,7.63,1.31,15.91,33.26,2020,False
Arunachal Pradesh,2.01,0.07,1.11,0.002,3.19,0.27,2.92,0.003,0.0002,0.01,0.01,0.01,2.9,0.36,2020,False
Assam,17.92,0.96,7.64,0.53,27.05,5.09,21.97,1.97,0.01,0.6,2.58,0.66,19.33,11.73,2020,False
Bihar,21.02,3.32,1.29,2.42,28.05,2.6,25.46,10.33,0.65,2.04,13.02,2.29,12.23,51.14,2020,False
Chandigarh,0.01,0.02,0.005,0.03,0.06,0.01,0.06,0.01,0.002,0.03,0.05,0.03,0.01,80.6,2020,False
Chhattisgarh,8.33,1.38,1.11,1.84,12.65,1.11,11.55,4.53,0.1,0.71,5.35,0.84,6.25,46.34,2020,False
Dadra & Nagar Haveli and Daman & Diu,0.07,0.0105,0.003,0.021,0.1,0.006,0.1,0.013000000000000001,0.04,0.02,0.06,0.04,0.030199999999999998,60.0,2020,False
Delhi,0.05,0.13,0.004,0.13,0.32,0.03,0.29,0.07,0.04,0.18,0.29,0.19,0.02,101.4,2020,False
