State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing,Population,CAGR_2011_2021_pct,Source_Note,Rainfall_mm,Rainfall_Mapping_Note
Andaman & Nicobar,0.35,0.0,0.02,0.0,0.37,0.04,0.33,0.0,0.0,0.01,0.01,0.01,0.32,2.74,2017,False,401183,0.8825,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3150,direct
Andhra Pradesh,9.96,5.62,1.21,4.42,21.22,1.07,20.15,7.85,0.14,0.9,8.9,1.48,12.31,44.15,2017,False,52049195,0.8789,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1085,direct
Arunachal Pradesh,1.89,0.18,0.95,0.01,3.02,0.36,2.67,0.0,0.0,0.01,0.01,0.03,2.64,0.28,2017,False,1492918,1.2739,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2710,direct
Assam,20.22,0.43,7.28,0.74,28.67,4.42,24.26,1.97,0.06,0.69,2.73,0.79,21.43,11.25,2017,False,33776481,1.3282,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_isolated_subdivision_figure
Bihar,19.83,3.95,3.14,4.5,31.41,2.43,28.99,10.78,0.66,1.83,13.26,1.83,15.78,45.76,2017,False,113986889,1.5238,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1089,direct
Chandigarh,0.02,0.01,0.0,0.01,0.04,0.0,0.04,0.0,0.0,0.03,0.03,0.03,0.0,89.0,2017,True,1110905,0.8571,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
Chhattisgarh,7.82,1.36,0.76,1.64,11.57,1.0,10.57,3.98,0.05,0.67,4.7,0.79,5.76,44.43,2017,False,27813333,1.4279,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1302,direct
Dadra & Nagar Haveli and Daman & Diu,0.06,0.0,0.0,0.01,0.07,0.0,0.07,0.01,0.0,0.01,0.02,0.01,0.04,28.57,2017,True,649965,1.714,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
Delhi,0.13,0.06,0.03,0.11,0.32,0.02,0.3,0.09,0.02,0.24,0.36,0.29,0.02,119.61,2017,False,19018388,2.1009,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),630,direct
Goa,0.19,0.03,0.01,0.05,0.27,0.11,0.16,0.02,0.0,0.03,0.05,0.04,0.07,33.5,2017,True,1517916,0.6672,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3250,direct
